to;from;sim;source
Ночь.;Рат.;0.534643828868866;spat_khoch
Нянька Варька, девочка лет тринадцати, качает колыбель, в которой лежит ребенок, и чуть слышно мурлычет: Баю-баюшки-баю, А я песенку спою...;Нянька Варя, раклори бэрша дэшутрин лакэ, кунынэ куна, дрэ сави пашло раклоро и набут шундлэс багала: Баю-баю-баю Мэ гилори тукэ сбагава.;0.7155870199203491;spat_khoch
"Перед образом горит зеленая лампадка; через всю комнату от угла до угла тянется веревка, на которой висят пеленки и большие черные панталоны.";"Ангил дэвлэстэ хачёла зэлэно лампадка; пирдал сари штуба екхэ вэнглостыр жыко вавир вэнгло тырдэлапэ шэло, прэ саво убладэ пелёнки и барэ калэ холова.";0.692841649055481;spat_khoch
От лампадки ложится на потолок большое зеленое пятно, а пеленки и панталоны бросают длинные тени на печку, колыбель, на Варьку...;Э-лампадкатыр пасёла про пато баро зэлэно пятно, а пелёнки и холова чюрдэна длэнга тени про бов, куна, прэ Варькатэ...;0.7576308846473694;spat_khoch
Когда лампадка начинает мигать, пятно и тени оживают и приходят в движение, как от ветра.;Коли лампадка мигинэ, пятно и тени отджидёна и приджяна дро движениё, сыр э балвалятыр.;0.8838230967521667;spat_khoch
Душно.;Дрэван тато.;0.5182968378067017;spat_khoch
Пахнет щами и сапожным товаром.;Кхандэла ярмяса и тырахэнгирэ товароса.;0.6679732203483582;spat_khoch
Ребенок плачет.;Раклоро ровэла.;0.6133319139480591;spat_khoch
Он давно уже осип и изнемог от плача, но всё еще кричит и неизвестно, когда он уймется.;Ёв кхиныя э роибнастыр, нэ уса инкэ ровэла, и наджындло, коли ёв улэлапэ.;0.6990578770637512;spat_khoch
А Варьке хочется спать.;А Варькакэ камэлпэ тэ совэл.;0.8823235630989075;spat_khoch
Глаза ее слипаются, голову тянет вниз, шея болит.;Лакирэ якха закэрнапэ, шэро тырдэла дро низо, мэн дукхала.;0.6341623663902283;spat_khoch
Она не может шевельнуть ни веками, ни губами, и ей кажется, что лицо ее высохло и одеревенело, что голова стала маленькой, как булавочная головка.;Ёй на могискирла тэ пошэвелин ни векэнца, ни уштэнца, и лакэ здэлапэ, со лакиро муй вышутия и кэрдяпэ каштуно, со шэро ачья тыкно, сыр булавкакиро шэроро.;0.8399189710617065;spat_khoch
— Баю-баюшки-баю, — мурлычет она, — тебе кашки наварю...;— Баю-баюшки-баю, — багала ёй, — тукэ кхурмори кэравава...;0.9313051700592041;spat_khoch
В печке кричит сверчок.;Дро бов дэла годла сверчко.;0.6116041541099548;spat_khoch
В соседней комнате, за дверью, похрапывают хозяин и подмастерье Афанасий...;Дрэ пашылатуны штуба, пало удэра суто хулай и подмастерьё-Афанасиё...;0.8063650727272034;spat_khoch
Колыбель жалобно скрипит, сама Варька мурлычет — и всё это сливается в ночную, убаюкивающую музыку, которую так сладко слушать, когда ложишься в постель.;Куна тангипнаса скрипинэ, кокори.. Варька набут шундлэс багала, — и capo адава стховэлапэ дрэ екх музыка, сави адякэ гудлэс тэ шунэс, коли пасёса дрэ пасибнытко.;0.6405735015869141;spat_khoch
"Теперь же эта музыка только раздражает и гнетет, потому что она вгоняет в дремоту, а спать нельзя; если Варька, не дай бог, уснет, то хозяева прибьют ее.";"Акакана жэ адая музыка только холякирла и пхарэс тасавэла, пало одова, со ёй втрадэла дро соибэ, а тэ совэс нашты; коли Варька, на дэ дэвла, засовэла, то о хулая примарна ла.";0.8738117218017578;spat_khoch
Лампадка мигает.;Лампадка мигинэ.;0.9017423987388611;spat_khoch
Зеленое пятно и тени приходят в движение, лезут в полуоткрытые, неподвижные глаза Варьки и в ее наполовину уснувшем мозгу складываются в туманные грезы.;Зэлэно пятно и тени приджяна дро движэниё, джяна дро пашоткэрдэ Варькакирэ якха, и дрэ лакири пропаш суты годы стховэнапэ туманна грезэ .;0.8072330355644226;spat_khoch
Она видит темные облака, которые гоняются друг за другом по небу и кричат, как ребенок.;Ёй дыкхэла калэ облаки, савэ традэнапэ екх палэ екхэстэ пиро болыбэ и дэна годла, сыр тыкнинько раклоро.;0.6833366751670837;spat_khoch
"Но вот подул ветер, пропали облака, и Варька видит широкое шоссе, покрытое жидкою грязью; по шоссе тянутся обозы, плетутся люди с котомками на спинах, носятся взад и вперед какие-то тени; по обе стороны сквозь холодный, суровый туман видны леса.";"Нэ окэ запхурдыя балвал, хасинэ облаки и Варька дыкхэла буґло шоссе учякирдо жыдконэ блатаса; пиро шоссе тырдэнапэ обозэ, джяна мануша гонэнца про думэ, лыджянапэ палэ и ангил савэ-то тени; пир сарэ дуй строны пирдал шылало, холямо тумано дыкхнэ сы вэша.";0.8690940737724304;spat_khoch
Вдруг люди с котомками и тени падают на землю в жидкую грязь. — «Зачем это?» — спрашивает Варька.;"Екхатыр мануша гонэнца и тененца пэрна прэ пхув дрэ жыдко блата.— „Ваш со адава?"" — пучела Варька.";0.8119381666183472;spat_khoch
— «Спать, спать!» — отвечают ей.;"—„Тэ совас, тэ совас!""— ракирна ёнэ лакэ.";0.7819300889968872;spat_khoch
И они засыпают крепко, спят сладко, а на телеграфных проволоках сидят вороны и сороки, кричат, как ребенок, и стараются разбудить их.;И ёнэ засовэна зоралэс, сутэ гудлэс, а про телеграфна сутуги бэштэ кораки и сороки, дэна годла, сыр тыкнинько раклоро, и камэн тэ розджингавэн лэн.;0.8319706320762634;spat_khoch
— Баю-баюшки-баю, а я песенку спою... — мурлычет Варька и уже видит себя в темной, душной избе.;—	Баю-баю-баю, а мэ гилори сбагава...— багала набут шундлэс Варька и ужэ дыкхэла пэс дрэ калы, дрэван таты штуба.;0.9273284077644348;spat_khoch
На полу ворочается ее покойный отец Ефим Степанов.;Про пато рисёла лакиро покойно дад Ефимо Стёпаново.;0.8449506163597107;spat_khoch
Она не видит его, но слышит, как он катается от боли по полу и стонет.;Ёй на дыкхэла лэс, на шунэла, сыр ёв катынэпэ э духатыр пиро пато и стонинэ.;0.8112713098526001;spat_khoch
